"","model","nuc","r","rsquare","RMSE","MAE"
"3",1,"C","0.999216502737539","0.998433619343038","1.00389073617077","0.64406779661017"
"31",2,"C","0.998475317996145","0.996952960647503","1.43633242929958","0.718644067796609"
"32",3,"C","0.998221605597129","0.996446373880909","1.51869703297468","0.854237288135593"
"33",4,"C","0.998492300631153","0.996986874419693","1.39975784830745","0.745762711864407"
"34",5,"C","0.999103426588379","0.998207657020641","1.09645035903615","0.64915254237288"
"35",6,"C","0.99754455219685","0.995095133617614","1.76572835118245","1.0728813559322"
"36",7,"C","0.998449140517055","0.996900686199247","1.43349755989931","0.691525423728814"
"37",8,"C","0.998164432659353","0.996332234626169","1.52965045303644","0.994915254237288"
"38",9,"C","0.998530189354043","0.997062539051422","1.37692853968165","0.74915254237288"
"39",10,"C","0.998328278369927","0.996659351393062","1.46513145126693","0.852542372881356"
"310",11,"C","0.998419848826265","0.996842194530262","1.43107166197047","0.798305084745762"
